english,spanish,theme
Hello,Hola,Greetings & Social
Goodbye,Adiós,Greetings & Social
Good morning,Buenos días,Greetings & Social
Good afternoon,Buenas tardes,Greetings & Social
Good evening,Buenas noches,Greetings & Social
How are you?,¿Cómo estás?,Greetings & Social
What's up?,¿Qué tal?,Greetings & Social
Nice to meet you,Mucho gusto,Greetings & Social
Please,Por favor,Greetings & Social
Thank you,Gracias,Greetings & Social
You're welcome,De nada,Greetings & Social
Excuse me,Perdón,Greetings & Social
I'm sorry,Lo siento,Greetings & Social
Welcome,Bienvenido,Greetings & Social
See you later,Hasta luego,Greetings & Social
Okay,Vale,Greetings & Social
Friend,Amigo,Greetings & Social
Mr.,Señor,Greetings & Social
Mrs.,Señora,Greetings & Social
Miss,Señorita,Greetings & Social
How much?,¿Cuánto cuesta?,Greetings & Social
Name,Nombre,Greetings & Social
Age,Edad,Greetings & Social
Place,Lugar,Greetings & Social
Yes,Sí,Greetings & Social
No,No,Greetings & Social
Maybe,Quizás,Greetings & Social
Of course,Claro,Greetings & Social
Tomorrow,Mañana,Greetings & Social
Yesterday,Ayer,Greetings & Social
Today,Hoy,Greetings & Social
People,Gente,Greetings & Social
Personal,Personal,Greetings & Social
Group,Grupo,Greetings & Social
Partner,Pareja,Greetings & Social
Neighbor,Vecino,Greetings & Social
Guest,Invitado,Greetings & Social
Congratulations,Felicidades,Greetings & Social
Birthday,Cumpleaños,Greetings & Social
Cheers,Salud,Greetings & Social
Help,Ayuda,Greetings & Social
Repeat,Repita,Greetings & Social
Understand,Entiende,Greetings & Social
Slow,Despacio,Greetings & Social
Now,Ahora,Greetings & Social
Then,Entonces,Greetings & Social
Later,Luego,Greetings & Social
Always,Siempre,Greetings & Social
Never,Nunca,Greetings & Social
Together,Juntos,Greetings & Social
Alone,Solo,Greetings & Social
Food,Comida,Food & Drink
Drink,Bebida,Food & Drink
Water,Agua,Food & Drink
Bread,Pan,Food & Drink
Milk,Leche,Food & Drink
Coffee,Café,Food & Drink
Tea,Té,Food & Drink
Sugar,Azúcar,Food & Drink
Salt,Sal,Food & Drink
Pepper,Pimienta,Food & Drink
Cheese,Queso,Food & Drink
Egg,Huevo,Food & Drink
Meat,Carne,Food & Drink
Chicken,Pollo,Food & Drink
Fish,Pescado,Food & Drink
Rice,Arroz,Food & Drink
Beans,Frijoles,Food & Drink
Fruit,Fruta,Food & Drink
Apple,Manzana,Food & Drink
Banana,Plátano,Food & Drink
Orange,Naranja,Food & Drink
Vegetable,Verdura,Food & Drink
Potato,Papa,Food & Drink
Tomato,Tomate,Food & Drink
Onion,Cebolla,Food & Drink
Garlic,Ajo,Food & Drink
Salad,Ensalada,Food & Drink
Soup,Sopa,Food & Drink
Pasta,Pasta,Food & Drink
Beef,Res,Food & Drink
Pork,Cerdo,Food & Drink
Ham,Jamón,Food & Drink
Breakfast,Desayuno,Food & Drink
Lunch,Almuerzo,Food & Drink
Dinner,Cena,Food & Drink
Dessert,Postre,Food & Drink
Juice,Jugo,Food & Drink
Wine,Vino,Food & Drink
Beer,Cerveza,Food & Drink
Soda,Refresco,Food & Drink
Butter,Mantequilla,Food & Drink
Oil,Aceite,Food & Drink
Vinegar,Vinagre,Food & Drink
Flour,Harina,Food & Drink
Corn,Maíz,Food & Drink
Seafood,Marisco,Food & Drink
Shrimp,Camarón,Food & Drink
Sandwich,Sándwich,Food & Drink
Pizza,Pizza,Food & Drink
Hamburger,Hamburguesa,Food & Drink
Cake,Pastel,Food & Drink
Cookie,Galleta,Food & Drink
Ice cream,Helado,Food & Drink
Chocolate,Chocolate,Food & Drink
Menu,Menú,Food & Drink
Plate,Plato,Food & Drink
Glass,Vaso,Food & Drink
Cup,Taza,Food & Drink
Fork,Tenedor,Food & Drink
Knife,Cuchillo,Food & Drink
Spoon,Cuchara,Food & Drink
Napkin,Servilleta,Food & Drink
Bill,Cuenta,Food & Drink
Tip,Propina,Food & Drink
Restaurant,Restaurante,Food & Drink
Travel,Viaje,Travel & Transport
Car,Coche,Travel & Transport
Bus,Autobús,Travel & Transport
Train,Tren,Travel & Transport
Plane,Avión,Travel & Transport
Ship,Barco,Travel & Transport
Bicycle,Bicicleta,Travel & Transport
Taxi,Taxi,Travel & Transport
Ticket,Boleto,Travel & Transport
Station,Estación,Travel & Transport
Airport,Aeropuerto,Travel & Transport
Port,Puerto,Travel & Transport
Street,Calle,Travel & Transport
Road,Camino,Travel & Transport
Map,Mapa,Travel & Transport
Suitcase,Maleta,Travel & Transport
Backpack,Mochila,Travel & Transport
Passenger,Pasajero,Travel & Transport
Driver,Conductor,Travel & Transport
Exit,Salida,Travel & Transport
Entrance,Entrada,Travel & Transport
